등록인구 (명),탑승량,플라스틱 배출량,카페수,편의점수,유동인구,의료기관 수,대학교 수,y,지역
0.1689495514613678,0.05627862776053042,0.16565265486725667,0.06862745098039216,0.07446808510638298,0.05127843528633262,0.05128205128205128,0.0,0.07072145519313759,광산구 도산동
0.0,0.0029154922205175257,0.16565265486725667,0.0,0.0,0.0,0.005128205128205128,0.0,0.0007365677146543865,광산구 동곡동
0.0009645992090286486,0.0024065693226755593,0.16565265486725667,0.0,0.0,0.0,0.0,0.0,0.0,광산구 본량동
0.06999373010514132,0.03014605395586189,0.16565265486725667,0.09803921568627451,0.10638297872340426,0.040636559886313095,0.046153846153846156,0.0,0.06842830739846328,광산구 비아동
0.003846339346001736,0.0,0.16565265486725667,0.0,0.0,0.0,0.015384615384615385,0.0,0.0021484646962288295,광산구 삼도동
0.19550014468988136,0.36109876358721077,0.4585827693909423,0.17647058823529413,0.1595744680851064,0.13569023934275662,0.27692307692307694,0.0,0.22820981552262332,광산구 송정동
0.9238448924471881,0.24719563549458545,0.16565265486725667,0.696078431372549,0.5957446808510638,0.11032402937634922,0.517948717948718,0.0,0.4936904420721851,광산구 수완동
0.2086669238931224,0.23762902409118683,0.16565265486725667,0.09313725490196079,0.05319148936170213,0.031397690825134064,0.1641025641025641,0.0,0.11497432405678272,광산구 신가동
0.4034195041960066,0.1742342900396751,0.16565265486725667,0.28921568627450983,0.24468085106382978,0.06853396685578324,0.16923076923076924,0.5,0.28709098089198365,광산구 신창동
0.033543937493971256,0.20210788731500523,0.16565265486725667,0.0,0.0,0.0,0.0,0.0,0.03201605541816993,광산구 신흥동
0.38715395003376096,0.21870327584705898,0.16565265486725667,0.2107843137254902,0.2553191489361702,0.0491811577695092,0.09743589743589744,0.5,0.26148564097862725,광산구 어룡동
0.3157977235458667,0.21229732921928,0.16565265486725667,0.19607843137254902,0.2872340425531915,0.05337571280315604,0.19487179487179487,0.0,0.19901887780641142,광산구 우산동
0.36001253978971737,0.20250602150846753,0.16565265486725667,0.09803921568627451,0.1276595744680851,0.06713096051694274,0.2512820512820513,0.0,0.1584459981782221,광산구 운남동
0.3604345519436674,0.2199035094118869,0.4585827693909423,0.21568627450980393,0.26595744680851063,0.058785242398273,0.15384615384615385,0.0,0.21924322792348286,광산구 월곡동
0.0024838429632487702,0.0076229951244833815,0.16565265486725667,0.0,0.02127659574468085,0.0,0.010256410256410256,0.0,0.006503034853472836,광산구 임곡동
0.3101909906433877,0.3742622787649921,0.16565265486725667,0.14705882352941177,0.2127659574468085,0.10220250299223646,0.441025641025641,1.0,0.3873760913774333,광산구 첨단1동
0.5137817111989968,0.07857563424160183,0.16565265486725667,0.39215686274509803,0.5106382978723404,0.0736289048233767,0.020512820512820513,0.0,0.2649700728615697,광산구 첨단2동
0.03998263721423748,0.07775468587401982,0.16565265486725667,0.049019607843137254,0.1702127659574468,0.012731920925405624,0.02564102564102564,0.0,0.06510179400567478,광산구 평동
0.27747901996720364,0.12572456761894327,0.16565265486725667,0.25,0.3617021276595745,0.05164003485819873,0.09230769230769231,0.5,0.2677261234653239,광산구 하남동
0.051437252821452686,0.015886042494587353,0.021912415408641323,0.0196078431372549,0.031914893617021274,0.014550766771892142,0.020512820512820513,0.0,0.013429726048904187,남구 대촌동
0.1720603839104852,0.09176708390298435,0.1711022904737116,0.05392156862745098,0.8936170212765957,0.05205587436584475,0.08717948717948718,0.0,0.2367525076905989,남구 방림동
0.20450708980418636,0.13216536454907912,0.1711022904737116,0.13725490196078433,0.09574468085106383,0.051437539097953705,0.13333333333333333,0.0,0.11759860898277547,남구 백운동
0.4996021028262757,0.2125778944938963,0.1711022904737116,0.3480392156862745,0.23404255319148937,0.06434302781785506,0.47692307692307695,0.0,0.28453781657623994,남구 봉선동
0.041827433201504775,0.04646874226208024,0.021912415408641323,0.03431372549019608,0.02127659574468085,0.02205395788811386,0.041025641025641026,0.0,0.02289072671410033,남구 사직동
0.2242693160991608,0.16497834806312325,0.021912415408641323,0.12745098039215685,0.13829787234042554,0.017656907094222,0.1076923076923077,0.5,0.1827316230757031,남구 송암동
0.06451962959390373,0.002775141781064705,0.021912415408641323,0.19607843137254902,0.02127659574468085,0.02732246365020304,0.035897435897435895,1.0,0.20278861795746408,남구 양림동
0.25422012153950035,0.21274970512847285,0.3202921655387819,0.12745098039215685,0.14893617021276595,0.06369938057993339,0.24615384615384617,0.0,0.17052616332051945,남구 월산동
0.3144593421433394,0.3116606942017504,0.1711022904737116,0.23039215686274508,0.14893617021276595,0.044892586847177174,0.19487179487179487,0.0,0.19348199591171028,남구 주월동
0.33141217324201794,0.2734909344464457,0.021912415408641323,0.22058823529411764,0.23404255319148937,0.03215343393033423,0.3333333333333333,0.5,0.2842362226952929,남구 진월동
0.5365100800617344,0.05491919476003329,0.021912415408641323,0.09313725490196079,0.05319148936170213,0.028591678147453073,0.05128205128205128,0.0,0.09080899593546131,남구 효덕동
0.1960909617054114,0.11786073927661621,0.12727745965642895,0.17647058823529413,0.1702127659574468,0.13348809795009203,0.15897435897435896,0.0,0.15506865575994247,동구 계림동
0.02486254461271342,0.15177211753420414,0.0,0.30392156862745096,0.06382978723404255,0.041334447060014684,0.020512820512820513,0.0,0.10780526232812761,동구 동명동
0.2093300858493296,0.10293518196332772,0.12727745965642895,0.11764705882352941,0.07446808510638298,0.07731360446069231,0.13846153846153847,0.0,0.10784746655569624,동구 산수동
0.11811517314555801,1.0,0.12727745965642895,0.3382352941176471,0.23404255319148937,0.2427851845423415,0.4256410256410256,0.5,0.4602186812880039,동구 서남동
