지역,종별,의료기관명,수
광산구 송촌동,요양병원,굿모닝요양병원,1
광산구 장덕동,요양병원,수완행복한요양병원,1
광산구 신창동,요양병원,산들요양병원,1
광산구 장덕동,요양병원,수완탑요양병원,1
광산구 송촌동,요양병원,일등요양병원,1
광산구 우산동,요양병원,호남요양병원,1
광산구 쌍암동,요양병원,상그릴라요양병원,1
광산구 신가동,요양병원,자연요양병원,1
광산구 소촌동,요양병원,우리요양병원,1
광산구 삼거동,요양병원,효정요양병원,1
광산구 삼거동,요양병원,광주시립제1요양병원,1
동구 계림동,의원,부부내과의원,1
동구 남동,의원,이승철피부과의원,1
동구 학동,의원,마레피부과의원,1
동구 계림동,의원,도담소아청소년과의원,1
동구 금동,의원,코와숲이비인후과의원,1
동구 소태동,의원,박은호이비인후과의원,1
동구 산수동,의원,오영미 신경과의원,1
동구 용산동,의원,한의정소아청소년과의원,1
동구 대인동,의원,노벨플러스내과의원,1
동구 학동,의원,넘버원정형외과의원,1
동구 학동,의원,봄산부인과의원,1
동구 서석동,의원,광주대항외과의원,1
동구 학동,의원,선형유외과의원,1
동구 학동,의원,담대한외과의원,1
동구 대인동,의원,조은세상누림의원,1
동구 계림동,의원,밝은소아청소년과의원,1
동구 학동,의원,우리건강내과의원,1
동구 학동,의원,드림정신건강의학과의원,1
동구 황금동,의원,강남더뷰티 성형외과의원,1
동구 금남로3가,의원,청담젠의원,1
동구 학동,의원,바른이비인후과의원,1
동구 남동,의원,오봉렬 비뇨기과의원,1
동구 학동,의원,우리아이소아청소년과의원,1
동구 충장로1가,의원,밤실의원,1
동구 학동,의원,라벨르의원,1
동구 학동,의원,성모마취통증의학과의원,1
동구 학동,의원,한가족의원,1
동구 남동,의원,베스트신경과의원,1
동구 호남동,의원,엘리스의원,1
동구 학동,의원,파랑새안과의원,1
동구 학동,의원,고운연합내과의원,1
동구 금남로2가,의원,뮤즈의원,1
동구 장동,의원,허준이비인후과의원,1
동구 대인동,의원,현대의원,1
동구 학동,의원,기홍석안과의원,1
동구 대인동,의원,대인연합내과의원,1
동구 호남동,의원,중앙안과의원,1
동구 산수동,의원,동방의원(의료법인 희망의료재단),1
동구 학동,의원,연합내과의원,1
동구 산수동,의원,밝은미소의원,1
동구 금남로5가,의원,동양미인의원,1
동구 계림동,의원,광주동산의원,1
동구 호남동,의원,수사랑의원,1
동구 지산동,의원,지산내과의원,1
동구 충장로1가,의원,문경란산부인과의원,1
동구 학동,의원,필요한가정의학과의원,1
동구 산수동,의원,열린가정의학과의원,1
동구 대인동,의원,우리신경외과의원,1
동구 남동,의원,복음내과의원,1
동구 학동,의원,김평남내과의원,1
동구 산수동,의원,고비뇨의학과의원,1
동구 남동,의원,탑마취통증의학과의원,1
동구 계림동,의원,한사랑가정의학과의원,1
동구 남동,의원,미즈유로여성의원,1
동구 용산동,의원,서울연합의원,1
동구 남동,의원,광주재활의학과의원,1
동구 광산동,의원,광주고운세상피부과의원,1
동구 산수동,의원,김선호안과의원,1
동구 남동,의원,최영정신과의원,1
동구 금남로5가,의원,문앤문의원,1
동구 산수동,의원,준이비인후과의원,1
동구 남동,의원,우리이비인후과의원,1
동구 계림동,의원,김성식비뇨기과의원,1
동구 대인동,의원,대인제통마취통증의학과의원,1
동구 금남로5가,의원,모정마취통증의학과의원,1
동구 황금동,의원,반이비인후과의원,1
동구 금남로5가,의원,광주중앙영상의학과의원,1
동구 남동,의원,푸른안과의원,1
동구 금동,의원,김용주내과의원,1
동구 남동,의원,광주신경과의원,1
동구 산수동,의원,자모스프링여성의원,1
동구 지산동,의원,그린가정의학과의원,1
동구 대인동,의원,강남비뇨기과의원,1
동구 학동,의원,새한신경외과의원,1
동구 산수동,의원,박미순피부과의원,1
동구 계림동,의원,아름다운피부과의원,1
동구 광산동,의원,류봉수성형외과의원,1
동구 황금동,의원,최광림성형외과의원,1
동구 산수동,의원,현대가정의학과의원,1
동구 대인동,의원,박안과의원,1
동구 학동,의원,조은정형외과의원,1
동구 동명동,의원,재단법인 C.C.C 아가페의원,1
동구 금동,의원,광주안과의원,1
동구 산수동,의원,조승열내과의원,1
동구 계림동,의원,가나신경외과의원,1
동구 학동,의원,전남피부과의원,1
동구 남동,의원,아이사랑정신건강의학과의원,1
동구 소태동,의원,퍼스트의원,1
동구 산수동,의원,오내과의원,1
동구 산수동,의원,심이비인후과의원,1
동구 계림동,의원,허경내과의원,1
동구 계림동,의원,이민오외과의원,1
동구 계림동,의원,시온의원,1
동구 학동,의원,이동훈이비인후과의원,1
동구 황금동,의원,중앙피부과의원,1
동구 학동,의원,학문외과의원,1
동구 대인동,의원,허웅이비인후과의원,1
동구 학동,의원,문응주정형외과의원,1
동구 학동,의원,이상명내과의원,1
동구 서석동,의원,이정남신경정신과의원,1
동구 장동,의원,유승우비뇨기과의원,1
동구 충장로4가,의원,기찬종피부과의원,1
동구 소태동,의원,한국한센복지협회광주전남지부부설의원,1
동구 계림동,의원,조내과의원,1
동구 금남로5가,의원,오갑렬비뇨기과의원,1
동구 호남동,의원,전산부인과의원,1
동구 학동,의원,허경룡소아과의원,1
동구 황금동,의원,오정호비뇨기과의원,1
동구 황금동,의원,오비뇨기과의원,1
동구 학동,의원,최춘산부인과의원,1
동구 충장로4가,의원,조이비인후과의원,1
동구 대인동,의원,이진희산부인과의원,1
동구 금남로5가,의원,김신경외과의원,1
동구 금남로1가,의원,진내과의원,1
동구 학동,의원,광주의원,1
서구 농성동,의원,센트럴윤길중안과의원,1
서구 치평동,의원,이루다성형외과의원,1
서구 치평동,의원,바노바기광주의원,1
서구 농성동,의원,서울갑유외과의원,1
서구 치평동,의원,키앤아이소아청소년과의원,1
서구 광천동,의원,태영21내과의원,1
서구 내방동,의원,우리가정의원,1
서구 풍암동,의원,풍암탑내과의원,1
서구 마륵동,의원,상무탑정형외과의원,1
서구 동천동,의원,다정의원,1
서구 풍암동,의원,장쏙쏙내과의원,1
서구 동천동,의원,한결마취통증의학과의원,1
서구 금호동,의원,라파가정의학과의원,1
서구 농성동,의원,프리미어의원,1
서구 내방동,의원,기아(주)오토랜드 광주제2의원,1
서구 광천동,의원,광주글로벌서울안과의원,1
서구 내방동,의원,기아(주)오토랜드 광주제1의원,1
서구 치평동,의원,강남더빛안과의원,1
서구 치평동,의원,당신의봄의원,1
서구 치평동,의원,리노성형외과의원,1
서구 치평동,의원,문형철내과의원,1
서구 치평동,의원,닥터스피부과의원 광주상무점,1
서구 농성동,의원,밴스의원,1
서구 치평동,의원,상무드림내과의원,1
서구 양동,의원,최고안과의원,1
서구 치평동,의원,모던성형외과의원,1
서구 농성동,의원,미하이의원,1
서구 치평동,의원,서울성모정형외과의원,1
서구 화정동,의원,참편한신경외과의원,1
서구 농성동,의원,닥터스피부과의원,1
서구 금호동,의원,금호정신건강의학과의원,1
서구 화정동,의원,오세인정형외과의원,1
서구 치평동,의원,박앤박정신건강의학과의원,1
서구 금호동,의원,희망가득마취통증의학과의원,1
서구 동천동,의원,광주삼성이비인후과의원,1
서구 농성동,의원,삼성 봄 정신건강의학과의원,1
서구 치평동,의원,스카이의원,1
서구 치평동,의원,아이퀸성형외과의원,1
서구 치평동,의원,서울상무정형외과의원,1
서구 쌍촌동,의원,로뎀정신건강의학과의원,1
서구 금호동,의원,박상훈내과의원,1
서구 화정동,의원,서울삼성내과의원,1
서구 치평동,의원,리얼미의원,1
서구 치평동,의원,아티스성형외과의원,1
서구 풍암동,의원,소문난정형외과의원,1
서구 화정동,의원,최승호내과의원,1
서구 치평동,의원,압구정모비앙의원,1
서구 쌍촌동,의원,힐링미드림의원,1
서구 치평동,의원,광주스마일안과의원,1
서구 광천동,의원,아띠의원,1
서구 치평동,의원,서울이비인후과의원,1
서구 치평동,의원,샤인빔의원,1
서구 치평동,의원,코앤영의원,1
서구 화정동,의원,센트럴비뇨의학과의원,1
서구 농성동,의원,박인범제통의원,1
서구 치평동,의원,탑라인외과의원,1
서구 농성동,의원,호호이비인후과의원,1
서구 화정동,의원,바른재활의학과의원,1
서구 화정동,의원,밝은의원,1
서구 화정동,의원,K교토성형외과의원,1
서구 치평동,의원,블리비의원,1
서구 농성동,의원,광주미의원,1
서구 농성동,의원,쁘띠2.7의원,1
서구 양동,의원,하나가정의학과의원,1
서구 치평동,의원,강남바른스케치의원,1
서구 농성동,의원,정상기안과의원,1
서구 농성동,의원,강남의원,1
서구 치평동,의원,비슈정신건강의학과의원,1
서구 치평동,의원,상무안과의원,1
서구 치평동,의원,CNP차앤박피부과의원,1
서구 풍암동,의원,더하얀의원,1
서구 양동,의원,서구베스트의원,1
서구 치평동,의원,연세피부과의원,1
서구 금호동,의원,연세다온재활의학과의원,1
서구 치평동,의원,신데렐라의원,1
서구 치평동,의원,닥터영의원,1
서구 화정동,의원,하나로내과의원,1
서구 농성동,의원,쿨맨남성의원,1
서구 마륵동,의원,디에비뉴의원,1
서구 농성동,의원,리뉴의원,1
서구 마륵동,의원,상쾌한박완내과의원,1
서구 치평동,의원,닥터윤마디의원,1
서구 치평동,의원,압구정제이엘의원,1
서구 치평동,의원,더블린의원,1
서구 풍암동,의원,미앤사랑피부과의원,1
서구 풍암동,의원,소문난내과의원,1
서구 쌍촌동,의원,코끼리내과의원,1
서구 광천동,의원,엠탑남성의원,1
서구 치평동,의원,바른유외과의원,1
서구 금호동,의원,피넬정신건강의학과의원,1
서구 금호동,의원,강남진의원,1
서구 치평동,의원,톱스타성형외과의원,1
서구 치평동,의원,더코성형외과의원,1
서구 쌍촌동,의원,광주주사랑의원,1
서구 쌍촌동,의원,웰의원,1
서구 금호동,의원,대한정형외과의원,1
서구 농성동,의원,목뉴방외과의원,1
서구 치평동,의원,V라인S라인프리미엄자인의원,1
서구 농성동,의원,드림업성형외과의원,1
서구 농성동,의원,맨앤네이처 성형외과의원,1
서구 광천동,의원,광주안과의원,1
서구 치평동,의원,아델피부과의원,1
서구 치평동,의원,센트럴T성형외과의원,1
서구 농성동,의원,비비드성형외과의원,1
서구 농성동,의원,하나통합의원,1
서구 동천동,의원,상쾌한정형외과의원,1
서구 동천동,의원,상쾌한내과의원,1
서구 치평동,의원,원정신건강의학과의원,1
서구 치평동,의원,연세팜스의원,1
서구 치평동,의원,코웰의원,1
서구 치평동,의원,미라클의원,1
서구 치평동,의원,모앤미라클의원,1
서구 마륵동,의원,가슴뛰는내과의원,1
서구 치평동,의원,청담진성형외과의원,1
서구 치평동,의원,강남세련성형외과의원,1
서구 광천동,의원,빛고을미의원,1
서구 풍암동,의원,파티마의원,1
서구 치평동,의원,참사랑내과의원,1
서구 금호동,의원,홍신경외과의원,1
서구 양동,의원,우리연합의원,1
