시도명,시군구명,상호명,상권업종중분류명,상권업종소분류코드,상권업종소분류명,행정동명,경도,위도,지역
광주광역시,서구,커피베이,커피점/카페,Q12A01,커피전문점/카페/다방,풍암동,126.878148687791,35.1258990901188,서구 화정동
광주광역시,서구,파스쿠찌,커피점/카페,Q12A01,커피전문점/카페/다방,화정3동,126.876445737248,35.1516269688288,서구 화정동
광주광역시,서구,케냐에스프레소,커피점/카페,Q12A01,커피전문점/카페/다방,풍암동,126.882181809763,35.1222045952065,서구 화정동
광주광역시,서구,커피애,커피점/카페,Q12A01,커피전문점/카페/다방,화정3동,126.874900456695,35.1514684073585,서구 화정동
광주광역시,서구,카페207,커피점/카페,Q12A01,커피전문점/카페/다방,화정2동,126.879955241175,35.1486037600644,서구 화정동
광주광역시,서구,이디야커피,커피점/카페,Q12A01,커피전문점/카페/다방,화정3동,126.87810209294,35.1468920073585,서구 화정동
광주광역시,서구,구씨,커피점/카페,Q12A01,커피전문점/카페/다방,풍암동,126.886519322987,35.1291672061556,서구 화정동
광주광역시,서구,예쓰베이크,커피점/카페,Q12A01,커피전문점/카페/다방,화정3동,126.877334114564,35.1468758803074,서구 화정동
광주광역시,서구,해피엔딩,커피점/카페,Q12A01,커피전문점/카페/다방,풍암동,126.884682334435,35.1238771771393,서구 화정동
광주광역시,서구,컴포즈커피,커피점/카페,Q12A01,커피전문점/카페/다방,화정2동,126.883971612473,35.147018322343,서구 화정동
광주광역시,서구,한움큼,커피점/카페,Q12A01,커피전문점/카페/다방,화정3동,126.87935385963,35.1428383318265,서구 화정동
광주광역시,서구,퍼스트PC카페,커피점/카페,Q12A01,커피전문점/카페/다방,풍암동,126.879663792776,35.1258229657667,서구 화정동
광주광역시,서구,달달커피,커피점/카페,Q12A01,커피전문점/카페/다방,화정2동,126.881057633495,35.1458376714012,서구 화정동
광주광역시,서구,더스토리,커피점/카페,Q12A01,커피전문점/카페/다방,화정4동,126.87427155754,35.142944458761,서구 화정동
광주광역시,서구,벌크커피화정,커피점/카페,Q12A01,커피전문점/카페/다방,화정4동,126.872891765617,35.1451220034836,서구 화정동
광주광역시,서구,월드킹,커피점/카페,Q12A01,커피전문점/카페/다방,풍암동,126.879107612497,35.127178922931,서구 화정동
광주광역시,서구,소마커피샵,커피점/카페,Q12A01,커피전문점/카페/다방,화정4동,126.873932359473,35.1420759749445,서구 화정동
광주광역시,서구,커피박스,커피점/카페,Q12A01,커피전문점/카페/다방,풍암동,126.868697226446,35.1215025933136,서구 화정동
광주광역시,서구,요거프레소,커피점/카페,Q12A01,커피전문점/카페/다방,풍암동,126.879996596561,35.1255556244523,서구 화정동
광주광역시,서구,망고식스,커피점/카페,Q12A01,커피전문점/카페/다방,풍암동,126.87884338454,35.1256441151496,서구 화정동
광주광역시,서구,청자다방,커피점/카페,Q12A01,커피전문점/카페/다방,풍암동,126.880338016248,35.1262618637546,서구 화정동
광주광역시,서구,까페보니떼,커피점/카페,Q12A01,커피전문점/카페/다방,풍암동,126.886314981472,35.1296701074425,서구 화정동
광주광역시,서구,뜨레띠예,커피점/카페,Q12A01,커피전문점/카페/다방,풍암동,126.882205226508,35.1220966441945,서구 화정동
광주광역시,서구,디어거스트,커피점/카페,Q12A01,커피전문점/카페/다방,화정4동,126.86667268829,35.1440995113257,서구 화정동
광주광역시,서구,EDENCOFFEE,커피점/카페,Q12A01,커피전문점/카페/다방,화정2동,126.88228545062,35.1427211862713,서구 화정동
광주광역시,서구,악동들,커피점/카페,Q12A01,커피전문점/카페/다방,풍암동,126.881932842747,35.1227611614826,서구 화정동
광주광역시,서구,바른커피,커피점/카페,Q12A01,커피전문점/카페/다방,화정2동,126.884788251919,35.1458810783252,서구 화정동
광주광역시,서구,이디야커피,커피점/카페,Q12A01,커피전문점/카페/다방,화정2동,126.886574340033,35.1436620600527,서구 화정동
광주광역시,서구,공차,커피점/카페,Q12A01,커피전문점/카페/다방,풍암동,126.879107612497,35.127178922931,서구 화정동
광주광역시,서구,하임굴리엘모,커피점/카페,Q12A01,커피전문점/카페/다방,화정3동,126.874090464292,35.1441416215985,서구 화정동
광주광역시,서구,커피매그넙,커피점/카페,Q12A01,커피전문점/카페/다방,풍암동,126.874860508564,35.1336385873451,서구 화정동
광주광역시,서구,아이플러스키즈카페,커피점/카페,Q12A01,커피전문점/카페/다방,화정2동,126.884327174538,35.1466970970505,서구 화정동
광주광역시,서구,더빅카페,커피점/카페,Q12A01,커피전문점/카페/다방,풍암동,126.884046178735,35.1230600692178,서구 화정동
광주광역시,서구,청자다방,커피점/카페,Q12A01,커피전문점/카페/다방,화정2동,126.883671404793,35.1473040010299,서구 화정동
광주광역시,서구,이디야커피,커피점/카페,Q12A01,커피전문점/카페/다방,화정2동,126.878931658868,35.1520195645085,서구 화정동
광주광역시,서구,록수다방,커피점/카페,Q12A01,커피전문점/카페/다방,화정2동,126.877426218187,35.1513566272386,서구 화정동
광주광역시,서구,벌크커피,커피점/카페,Q12A01,커피전문점/카페/다방,화정2동,126.885570598985,35.1448426657293,서구 화정동
광주광역시,서구,로즈페탈,커피점/카페,Q12A01,커피전문점/카페/다방,풍암동,126.866228892776,35.1199111108771,서구 화정동
광주광역시,서구,데이원,커피점/카페,Q12A01,커피전문점/카페/다방,풍암동,126.882353986662,35.1216473202758,서구 화정동
광주광역시,서구,G-onecafe,커피점/카페,Q12A01,커피전문점/카페/다방,풍암동,126.88326609891,35.1231430234594,서구 화정동
광주광역시,서구,르카페시즌,커피점/카페,Q12A01,커피전문점/카페/다방,화정3동,126.875764248884,35.1469154079668,서구 화정동
광주광역시,서구,안녕하구멍어서오개,커피점/카페,Q12A01,커피전문점/카페/다방,화정2동,126.882207036748,35.1420354076844,서구 화정동
광주광역시,서구,미송사주카페,커피점/카페,Q12A01,커피전문점/카페/다방,화정4동,126.876793252386,35.1383166964977,서구 화정동
